BORDINDX,ST1,ST2,LENGTH
1,AL,FL,196.1
2,AL,GA,291.3
3,AL,MS,323.9
4,AL,TN,146.7
5,AR,LA,166.5
6,AR,MO,325.3
7,AR,MS,282.8
8,AR,OK,198.2
9,AR,TN,125.1
10,AR,TX,65
11,AZ,CA,198.4
12,AZ,CO,0
13,AZ,NM,391
14,AZ,NV,181.4
15,AZ,UT,275.8
16,CA,NV,608.2
17,CA,OR,216.3
18,CA,AZ,198.4
19,CO,KS,207.7
20,CO,NE,173.2
21,CO,NM,333
22,CO,OK,52.9
23,CO,UT,276.1
24,CO,WY,260.2
25,CO,AZ,0
26,CT,MA,86.5
27,CT,NY,82.3
28,CT,RI,40.3
29,DC,MD,24.6
30,DC,VA,1.9
31,DE,MD,122
32,DE,NJ,1.4
33,DE,PA,22.6
34,FL,GA,261.4
35,FL,AL,196.1
36,GA,NC,68.6
37,GA,SC,249.6
38,GA,TN,72.6
39,GA,AL,291.3
40,GA,FL,261.4
41,IA,MN,262.1
42,IA,MO,235
43,IA,NE,148.9
44,IA,SD,85.6
45,IA,WI,86.7
46,IA,IL,200.5
47,ID,MT,569.8
48,ID,NV,153
49,ID,OR,305.8
50,ID,UT,153.6
51,ID,WA,210.3
52,ID,WY,170.7
53,IL,IA,200.5
54,IL,IN,295.5
55,IL,KY,122.4
56,IL,MO,331.6
57,IL,WI,144.4
58,IN,KY,296
59,IN,MI,108.4
60,IN,OH,178.8
61,IN,IL,295.5
62,KS,MO,307.5
63,KS,NE,356.5
64,KS,OK,409.1
65,KS,CO,207.7
66,KY,MO,59.8
67,KY,OH,155.5
68,KY,TN,338.5
69,KY,VA,119
70,KY,WV,79.1
71,KY,IL,122.4
72,KY,IN,296
73,LA,MS,456.6
74,LA,TX,222.7
75,LA,AR,166.5
76,MA,NH,86.7
77,MA,NY,49.4
78,MA,RI,62.6
79,MA,VT,40.9
80,MA,CT,86.5
81,MD,PA,195.7
82,MD,VA,253.7
83,MD,WV,174
84,MD,DC,24.6
85,MD,DE,122
86,ME,NH,159.3
87,MI,OH,69.7
88,MI,WI,205.1
89,MI,IN,108.4
90,MN,ND,217.1
91,MN,SD,180.8
92,MN,WI,291.1
93,MN,IA,262.1
94,MO,NE,53.6
95,MO,OK,34.4
96,MO,TN,60.9
97,MO,AR,325.3
98,MO,IA,235
99,MO,IL,331.6
100,MO,KS,307.5
101,MO,KY,59.8
102,MS,TN,119.2
103,MS,AL,323.9
104,MS,AR,282.8
105,MS,LA,456.6
106,MT,ND,210.8
107,MT,SD,65.3
108,MT,WY,377.7
109,MT,ID,569.8
110,NC,SC,312.2
111,NC,TN,218.9
112,NC,VA,327.7
113,NC,GA,68.6
114,ND,SD,359
115,ND,MN,217.1
116,ND,MT,210.8
117,NE,SD,399.4
118,NE,WY,138
119,NE,CO,173.2
120,NE,IA,148.9
121,NE,KS,356.5
122,NE,MO,53.6
123,NH,VT,180
124,NH,MA,86.7
125,NH,ME,159.3
126,NJ,NY,103.4
127,NJ,PA,150.9
128,NJ,DE,1.4
129,NM,OK,34.5
130,NM,TX,536.2
131,NM,UT,0
132,NM,AZ,391
133,NM,CO,333
134,NV,OR,152.5
135,NV,UT,344.6
136,NV,AZ,181.4
137,NV,CA,608.2
138,NV,ID,153
139,NY,PA,306.1
140,NY,VT,80.3
141,NY,CT,82.3
142,NY,MA,49.4
143,NY,NJ,103.4
144,OH,PA,92.4
145,OH,WV,243.5
146,OH,IN,178.8
147,OH,KY,155.5
148,OH,MI,69.7
149,OK,TX,715.4
150,OK,AR,198.2
151,OK,CO,52.9
152,OK,KS,409.1
153,OK,MO,34.4
154,OK,NM,34.5
155,OR,WA,385.8
156,OR,CA,216.3
157,OR,ID,305.8
158,OR,NV,152.5
159,PA,WV,118.6
160,PA,DE,22.6
161,PA,MD,195.7
162,PA,NJ,150.9
163,PA,NY,306.1
164,PA,OH,92.4
165,RI,CT,40.3
166,RI,MA,62.6
167,SC,GA,249.6
168,SC,NC,312.2
169,SD,WY,137.7
170,SD,IA,85.6
171,SD,MN,180.8
172,SD,MT,65.3
173,SD,ND,359
174,SD,NE,399.4
175,TN,VA,110.7
176,TN,AL,146.7
177,TN,AR,125.1
178,TN,GA,72.6
179,TN,KY,338.5
180,TN,MO,60.9
181,TN,MS,119.2
182,TN,NC,218.9
183,TX,AR,65
184,TX,LA,222.7
185,TX,NM,536.2
186,TX,OK,715.4
187,UT,WY,173.1
188,UT,AZ,275.8
189,UT,CO,276.1
190,UT,ID,153.6
191,UT,NM,0
192,UT,NV,344.6
193,VA,WV,381.2
194,VA,DC,1.9
195,VA,KY,119
196,VA,MD,253.7
197,VA,NC,327.7
198,VA,TN,110.7
199,VT,MA,40.9
200,VT,NH,180
201,VT,NY,80.3
202,WA,ID,210.3
203,WA,OR,385.8
204,WI,IA,86.7
205,WI,IL,144.4
206,WI,MI,205.1
207,WI,MN,291.1
208,WV,KY,79.1
209,WV,MD,174
210,WV,OH,243.5
211,WV,PA,118.6
212,WV,VA,381.2
213,WY,CO,260.2
214,WY,ID,170.7
215,WY,MT,377.7
216,WY,NE,138
217,WY,SD,137.7
218,WY,UT,173.1
